model_name,class,false_positive_rate,true_positive_rate,threshold
sensor_attack_ensemble,1,0.84216,1.0,0.003618506504920049
sensor_attack_ensemble,1,0.84232,1.0,0.0036176671548683193
sensor_attack_ensemble,1,0.84632,1.0,0.003550785586225818
sensor_attack_ensemble,1,0.84648,1.0,0.0035507337835297896
sensor_attack_ensemble,1,0.8624,1.0,0.003239233227677154
sensor_attack_ensemble,1,0.86256,1.0,0.003237945248836707
sensor_attack_ensemble,1,0.87608,1.0,0.0029205303479991705
sensor_attack_ensemble,1,0.87624,1.0,0.0029170587409968808
sensor_attack_ensemble,1,0.93304,1.0,0.0015097752432689333
sensor_attack_ensemble,1,0.9332,1.0,0.001509669083147692
sensor_attack_ensemble,1,0.99064,1.0,0.0002958203096970818
sensor_attack_ensemble,1,0.9908,1.0,0.00029486401661111877
sensor_attack_ensemble,1,1.0,1.0,1.4412935629156808e-05
